text	tags_whitespace_sep
Ἰωαθὰμ δὲ ἐγέννησεν τὸν Ἀχάζ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀχὰζ δὲ ἐγέννησεν τὸν Ἑζεκίαν 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἑζεκίας δὲ ἐγέννησεν τὸν Μανασσῆ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Μανασσῆς δὲ ἐγέννησεν τὸν Ἀμώς 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀμὼς δὲ ἐγέννησεν τὸν Ἰωσίαν 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος 	speech_act #predicating instantiator_construal $process objectifying circumstance complete internal_orientation development_marker progressive 
Μετὰ τὴν μετοικεσίαν Βαβυλῶνος δὲ Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ 	speech_act #predicating circumstance instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος χριστός 	speech_act #predicating instantiator_construal $process objectifying complete internal_orientation development_marker progressive 
Πᾶσαι αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ οὖν γενεαὶ δεκατέσσαρες 	speech_act #predicating instantiator_construal synchronic categorized $category elaborated direction_tbd interactant_indication_tbd development_marker advancing 
καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες 	development_marker speech_act #predicating instantiator_construal synchronic categorized $category elaborated direction_tbd interactant_indication_tbd 
καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες 	development_marker speech_act #predicating instantiator_construal synchronic categorized $category elaborated direction_tbd interactant_indication_tbd 
Τοῦ Ἰησοῦ χριστοῦ ἡ γένεσις δὲ οὕτως ἦν 	speech_act #predicating instantiator_construal complementary_property $process alertness internal_orientation development_marker progressive 
μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου 	speech_act #predicating circumstance circumstance subjective_participation_type_tbd $process objectifying extra_participant #externalization #reception complete internal_orientation 
Ἰωσὴφ ὁ ἀνὴρ αὐτῆς δὲ δίκαιος ὢν καὶ μὴ θέλων αὐτὴν δειγματίσαι ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν 	speech_act #predicating instantiator_construal circumstance subjective_participation_type_tbd $process objectifying extra_participant #externalization #reception complete internal_orientation development_marker progressive 
ταῦτα αὐτοῦ ἐνθυμηθέντος δὲ ἰδοὺ ἄγγελος κυρίου κατ’ ὄναρ ἐφάνη αὐτῷ λέγων Ἰωσὴφ υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου τὸ ἐν αὐτῇ γεννηθὲν γὰρ ἐκ πνεύματός ἁγίου ἐστιν τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν 	speech_act #predicating circumstance instantiator_construal circumstance subjective_participation_type_tbd $process objectifying extra_participant medial-final #externalization circumstance complete internal_orientation augmented development_marker progressive 
Ἰωσὴφ υἱὸς Δαυίδ μὴ φοβηθῇς παραλαβεῖν Μαρίαν τὴν γυναῖκά σου 	speech_act augmented #predicating grouped contemplative internal_orientation interactant speaker_excluded 
τὸ ἐν αὐτῇ γεννηθὲν γὰρ ἐκ πνεύματός ἁγίου ἐστιν 	speech_act #predicating instantiator_construal complementary_property $process alertness development_marker supporting 
τέξεται δὲ υἱὸν 	speech_act #predicating affected $process objectifying alertness complete expected development_marker progressive 
καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν 	development_marker speech_act #predicating $process objectifying complementary_property complete expected interactant speaker_excluded 
αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν 	speech_act #predicating instantiator_construal $process objectifying circumstance complete expected development_marker supporting 
τοῦτο ὅλον δὲ γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος Ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν ὁ θεός 	speech_act #predicating instantiator_construal $process objectifying alertness complete development_marker progressive 
Ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν ὁ θεός 	speech_act augmented #predicating grouped 
ἐγερθεὶς ἀπὸ τοῦ ὕπνου ὁ Ἰωσὴφ ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου δὲ καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν υἱόν 	speech_act #predicating grouped internal_orientation development_marker progressive 
καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν 	development_marker speech_act #predicating $process objectifying complementary_property complete internal_orientation 
Τοῦ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως δὲ ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα λέγοντες Ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ 	speech_act #predicating circumstance instantiator_construal circumstance affected $process circumstance circumstance complete internal_orientation augmented development_marker progressive 
Ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων 	speech_act #predicating complementary_property $process alertness instantiator_construal interrogative differentiation_request 
εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ 	speech_act #predicating $process objectifying circumstance complete internal_orientation interactant development_marker supporting 
καὶ ἤλθομεν προσκυνῆσαι αὐτῷ 	development_marker speech_act #predicating $process circumstance complete internal_orientation interactant 
ἀκούσας ὁ βασιλεὺς Ἡρῴδης ἐταράχθη δὲ καὶ πᾶσα Ἱεροσόλυμα μετ’ αὐτοῦ 	speech_act #predicating grouped internal_orientation development_marker progressive 
καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ ἐπυνθάνετο παρ’ αὐτῶν ποῦ ὁ χριστὸς γεννᾶται 	development_marker speech_act #predicating circumstance affected $process circumstance objectifying alertness internal_orientation 
οἱ δὲ εἶπαν αὐτῷ Ἐν Βηθλέεμ τῆς Ἰουδαίας οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου Καὶ σύ Βηθλέεμ γῆ Ἰούδα οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ 	speech_act #predicating instantiator_construal $process objectifying extra_participant medial-final complete internal_orientation development_marker progressive 
Ἐν Βηθλέεμ τῆς Ἰουδαίας 	speech_act #predicating circumstance presumed direction_tbd interactant_indication_tbd 
οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου Καὶ σύ Βηθλέεμ γῆ Ἰούδα οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ 	speech_act #predicating circumstance subjective_participation_type_tbd $process circumstance alertness complete objectifying #externalization centrality_tbd instantiator_construal development_marker supporting 
Καὶ σύ Βηθλέεμ γῆ Ἰούδα οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα 	development_marker speech_act #predicating instantiator_construal circumstance complementary_property $process circumstance alertness interactant speaker_excluded augmented 
ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ 	speech_act #predicating circumstance affected $process alertness complete expected instantiator_construal development_marker supporting 
Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρ’ αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν Πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου ἐπὰν εὕρητε δὲ ἀπαγγείλατέ μοι ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ 	speech_act #predicating grouped internal_orientation 
Πορευθέντες ἐξετάσατε ἀκριβῶς περὶ τοῦ παιδίου 	speech_act #predicating circumstance $process circumstance circumstance complete direction_tbd interactant_indication_tbd 
ἐπὰν εὕρητε δὲ ἀπαγγείλατέ μοι ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ 	speech_act #predicating circumstance $process objectifying peripheral medial-final complete circumstance direction_tbd interactant_indication_tbd development_marker progressive 
οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν 	speech_act #predicating instantiator_construal circumstance subjective_participation_type_tbd $process complete objectifying #externalization centrality_tbd internal_orientation development_marker progressive 
καὶ ἰδοὺ ὁ ἀστὴρ ὃν εἶδον ἐν τῇ ἀνατολῇ προῆγεν αὐτούς ἕως ἐλθὼν ἐστάθη ἐπάνω οὗ ἦν τὸ παιδίον 	development_marker speech_act augmented #predicating instantiator_construal $process objectifying alertness circumstance internal_orientation 
ἰδόντες τὸν ἀστέρα δὲ ἐχάρησαν χαρὰν μεγάλην σφόδρα 	speech_act #predicating circumstance subjective_participation_type_tbd $process circumstance circumstance complete objectifying #externalization centrality_tbd internal_orientation development_marker progressive 
καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ 	development_marker speech_act #predicating circumstance $process objectifying complete internal_orientation 
καὶ πεσόντες προσεκύνησαν αὐτῷ 	development_marker speech_act #predicating circumstance $process objectifying peripheral medial-final complete internal_orientation 
καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα χρυσὸν καὶ λίβανον καὶ σμύρναν 	development_marker speech_act #predicating circumstance $process objectifying extra_participant medial-final complete internal_orientation 
καὶ χρηματισθέντες κατ’ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην δι’ ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν 	development_marker speech_act #predicating circumstance circumstance $process circumstance complete internal_orientation 
Ἀναχωρησάντων αὐτῶν δὲ ἰδοὺ ἄγγελος κυρίου φαίνεται κατ’ ὄναρ τῷ Ἰωσὴφ λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό 	speech_act #predicating circumstance instantiator_construal affected $process circumstance objectifying peripheral medial-final circumstance alertness augmented development_marker progressive 
Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι 	speech_act #predicating grouped directive 
μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό 	speech_act #predicating $process objectifying alertness instantiator_construal development_marker supporting 
ὁ ἐγερθεὶς παρέλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς δὲ καὶ ἀνεχώρησεν εἰς Αἴγυπτον καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου ἵνα πληρωθῇ τὸ ῥηθὲν ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου 	speech_act #predicating grouped circumstance internal_orientation development_marker progressive 
Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου 	speech_act #predicating circumstance $process objectifying complete internal_orientation interactant 
Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλέεμ καὶ ἐν πᾶσι τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων 	speech_act #predicating grouped internal_orientation 
τότε ἐπληρώθη τὸ ῥηθὲν διὰ Ἰερεμίου τοῦ προφήτου λέγοντος Φωνὴ κλαυθμὸς καὶ ὀδυρμὸς πολύς ἐν Ῥαμὰ ἠκούσθη Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν 	speech_act #predicating circumstance subjective_participation_type_tbd $process complete objectifying #externalization centrality_tbd instantiator_construal internal_orientation 
Φωνὴ κλαυθμὸς καὶ ὀδυρμὸς πολύς ἐν Ῥαμὰ ἠκούσθη 	speech_act #predicating instantiator_construal circumstance subjective_participation_type_tbd $process complete objectifying #externalization centrality_tbd internal_orientation 
Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν 	speech_act #predicating grouped contemplation_tbd orientation_tbd 
Τελευτήσαντος τοῦ Ἡρῴδου δὲ ἰδοὺ ἄγγελος κυρίου φαίνεται κατ’ ὄναρ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ λέγων Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου 	speech_act #predicating circumstance instantiator_construal affected $process circumstance objectifying peripheral medial-final circumstance circumstance alertness augmented development_marker progressive 
Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ 	speech_act #predicating grouped directive 
τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου 	speech_act #predicating $process alertness complete instantiator_construal development_marker supporting 
ὁ δὲ ἐγερθεὶς παρέλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ 	speech_act #predicating instantiator_construal circumstance $process objectifying complete internal_orientation development_marker progressive 
καὶ εἰσῆλθεν εἰς γῆν Ἰσραήλ 	development_marker speech_act #predicating $process circumstance complete internal_orientation 
ἀκούσας ὅτι Ἀρχέλαος βασιλεύει τῆς Ἰουδαίας ἀντὶ τοῦ πατρὸς αὐτοῦ Ἡρῴδου δὲ ἐφοβήθη ἐκεῖ ἀπελθεῖν 	speech_act #predicating circumstance subjective_participation_type_tbd $process objectifying extra_participant #externalization #reception complete internal_orientation development_marker progressive 
χρηματισθεὶς κατ’ ὄναρ δὲ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας 	speech_act #predicating circumstance $process circumstance complete internal_orientation development_marker progressive 
καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται 	development_marker speech_act #predicating circumstance $process circumstance complete circumstance internal_orientation 
Ἐν ταῖς ἡμέραις ἐκείναις δὲ παραγίνεται Ἰωάννης ὁ βαπτιστὴς κηρύσσων ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας καὶ λέγων Μετανοεῖτε ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν 	speech_act #predicating circumstance affected $process circumstance alertness instantiator_construal development_marker progressive 
Μετανοεῖτε 	speech_act #predicating $process alertness direction_tbd interactant_indication_tbd 
ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν 	speech_act #predicating $process alertness complete instantiator_construal development_marker supporting 
οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ Ἑτοιμάσατε τὴν ὁδὸν κυρίου εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ 	speech_act #predicating instantiator_construal $process complementary_property alertness development_marker supporting 
Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ Ἑτοιμάσατε τὴν ὁδὸν κυρίου εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ 	speech_act #predicating instantiator_construal presumed direction_tbd interactant_indication_tbd 
Ἑτοιμάσατε τὴν ὁδὸν κυρίου εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ 	speech_act #predicating grouped directive 
αὐτὸς ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου δὲ καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ 	speech_act #predicating grouped internal_orientation development_marker progressive 
ἡ τροφὴ αὐτοῦ δὲ ἦν ἀκρίδες καὶ μέλι ἄγριον 	speech_act #predicating instantiator_construal $process complementary_property alertness internal_orientation development_marker progressive 
τότε ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ποταμῷ ὑπ’ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν 	speech_act #predicating grouped internal_orientation 
Ἰδὼν πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα αὐτοῦ δὲ εἶπεν αὐτοῖς Γεννήματα ἐχιδνῶν τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν Ἀβραάμ λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ ἤδη δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται πᾶν δένδρον μὴ ποιοῦν καρπὸν καλὸν οὖν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται Ἐγὼ μὲν ὑμᾶς βαπτίζω ἐν ὕδατι εἰς μετάνοιαν ὁ ὀπίσω μου ἐρχόμενος δὲ ἰσχυρότερός μού ἐστιν οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην τὸ ἄχυρον δὲ κατακαύσει πυρὶ ἀσβέστῳ 	speech_act #predicating circumstance $process objectifying extra_participant medial-final complete internal_orientation development_marker progressive 
Γεννήματα ἐχιδνῶν τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς 	speech_act augmented #predicating instantiator_construal $process objectifying extra_participant medial-final complete interrogative differentiation_request internal_orientation 
ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας 	speech_act #predicating $process objectifying complete direction_tbd interactant_indication_tbd development_marker advancing 
καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς Πατέρα ἔχομεν τὸν Ἀβραάμ 	development_marker speech_act #predicating grouped contemplative internal_orientation interactant speaker_excluded 
Πατέρα ἔχομεν τὸν Ἀβραάμ 	speech_act #predicating objectifying complementary_property $process alertness interactant 
λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ 	speech_act #predicating $process objectifying extra_participant medial-final alertness interactant development_marker supporting 
δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ 	speech_act #predicating affected $process objectifying alertness instantiator_construal 
ἤδη δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται 	speech_act #predicating circumstance instantiator_construal circumstance affected $process alertness development_marker progressive 
πᾶν δένδρον μὴ ποιοῦν καρπὸν καλὸν οὖν ἐκκόπτεται 	speech_act #predicating instantiator_construal subjective_participation_type_tbd $process alertness objectifying #externalization centrality_tbd development_marker advancing 
καὶ εἰς πῦρ βάλλεται 	development_marker speech_act #predicating circumstance subjective_participation_type_tbd $process alertness objectifying #externalization centrality_tbd 
Ἐγὼ μὲν ὑμᾶς βαπτίζω ἐν ὕδατι εἰς μετάνοιαν 	speech_act #predicating instantiator_construal affirmative objectifying $process circumstance circumstance alertness interactant 
ὁ ὀπίσω μου ἐρχόμενος δὲ ἰσχυρότερός μού ἐστιν οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι 	speech_act #predicating instantiator_construal complementary_property circumstance $process alertness circumstance development_marker progressive 
αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ καὶ πυρί 	speech_act #predicating instantiator_construal objectifying $process circumstance complete expected 
οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην τὸ ἄχυρον δὲ κατακαύσει πυρὶ ἀσβέστῳ 	speech_act #predicating grouped 
Τότε παραγίνεται ὁ Ἰησοῦς ἀπὸ τῆς Γαλιλαίας ἐπὶ τὸν Ἰορδάνην πρὸς τὸν Ἰωάννην τοῦ βαπτισθῆναι ὑπ’ αὐτοῦ 	speech_act #predicating circumstance affected $process circumstance circumstance circumstance circumstance alertness instantiator_construal 
